param,year,unit,season,area,iter,data
a,1998,unique,1,unique,2,2047.694784
b,1998,unique,1,unique,2,539.9526306
c,1998,unique,1,unique,2,0.736627709
a,1999,unique,1,unique,2,2047.694784
b,1999,unique,1,unique,2,539.9526306
c,1999,unique,1,unique,2,0.736627709
a,2000,unique,1,unique,2,2047.694784
b,2000,unique,1,unique,2,539.9526306
c,2000,unique,1,unique,2,0.736627709
a,2001,unique,1,unique,2,2047.694784
b,2001,unique,1,unique,2,539.9526306
c,2001,unique,1,unique,2,0.736627709
a,2002,unique,1,unique,2,2047.694784
b,2002,unique,1,unique,2,539.9526306
c,2002,unique,1,unique,2,0.736627709
a,2003,unique,1,unique,2,2047.694784
b,2003,unique,1,unique,2,539.9526306
c,2003,unique,1,unique,2,0.736627709
a,2004,unique,1,unique,2,2047.694784
b,2004,unique,1,unique,2,539.9526306
c,2004,unique,1,unique,2,0.736627709
a,2005,unique,1,unique,2,2047.694784
b,2005,unique,1,unique,2,539.9526306
c,2005,unique,1,unique,2,0.736627709
a,2006,unique,1,unique,2,2047.694784
b,2006,unique,1,unique,2,539.9526306
c,2006,unique,1,unique,2,0.736627709
a,2007,unique,1,unique,2,2047.694784
b,2007,unique,1,unique,2,539.9526306
c,2007,unique,1,unique,2,0.736627709
a,2008,unique,1,unique,2,2047.694784
b,2008,unique,1,unique,2,539.9526306
c,2008,unique,1,unique,2,0.736627709
a,2009,unique,1,unique,2,2047.694784
b,2009,unique,1,unique,2,539.9526306
c,2009,unique,1,unique,2,0.736627709
a,2010,unique,1,unique,2,2047.694784
b,2010,unique,1,unique,2,539.9526306
c,2010,unique,1,unique,2,0.736627709
a,2011,unique,1,unique,2,2047.694784
b,2011,unique,1,unique,2,539.9526306
c,2011,unique,1,unique,2,0.736627709
a,2012,unique,1,unique,2,2047.694784
b,2012,unique,1,unique,2,539.9526306
c,2012,unique,1,unique,2,0.736627709
a,2013,unique,1,unique,2,2047.694784
b,2013,unique,1,unique,2,539.9526306
c,2013,unique,1,unique,2,0.736627709
a,2014,unique,1,unique,2,2047.694784
b,2014,unique,1,unique,2,539.9526306
