"age","year","unit","season","area","iter","data"
0,1990,"1","1","unique","1",1.20096569217229e-08
1,1990,"1","1","unique","1",6.09545685684507e-06
2,1990,"1","1","unique","1",1.85333550732175e-06
3,1990,"1","1","unique","1",4.18654594007225e-07
4,1990,"1","1","unique","1",7.55305602192866e-08
5,1990,"1","1","unique","1",1.05663375542416e-08
6,1990,"1","1","unique","1",3.67709555026174e-09
7,1990,"1","1","unique","1",9.31676694740917e-10
8,1990,"1","1","unique","1",2.52343169655532e-10
9,1990,"1","1","unique","1",7.28780269721433e-11
10,1990,"1","1","unique","1",2.26956023885138e-11
11,1990,"1","1","unique","1",7.54705776490516e-12
12,1990,"1","1","unique","1",2.61978764051556e-12
13,1990,"1","1","unique","1",9.3126356969107e-13
14,1990,"1","1","unique","1",3.36792759543997e-13
15,1990,"1","1","unique","1",1.9410055506641e-13
0,1991,"1","1","unique","1",1.07417262578988e-08
1,1991,"1","1","unique","1",6.24111959043304e-06
2,1991,"1","1","unique","1",2.5737513558755e-06
3,1991,"1","1","unique","1",3.70249870237581e-07
4,1991,"1","1","unique","1",6.92478074249827e-08
5,1991,"1","1","unique","1",1.37781013954018e-08
6,1991,"1","1","unique","1",2.42460265765727e-09
7,1991,"1","1","unique","1",1.01880569621184e-09
8,1991,"1","1","unique","1",2.88004412415223e-10
9,1991,"1","1","unique","1",8.69180032432146e-11
10,1991,"1","1","unique","1",2.80922412474156e-11
11,1991,"1","1","unique","1",9.58950446364534e-12
12,1991,"1","1","unique","1",3.38677918463939e-12
13,1991,"1","1","unique","1",1.21835793773088e-12
14,1991,"1","1","unique","1",4.43970545876081e-13
15,1991,"1","1","unique","1",2.5788183336001e-13
0,1992,"1","1","unique","1",3.64835342404586e-09
1,1992,"1","1","unique","1",3.96204978718441e-06
2,1992,"1","1","unique","1",1.89189415969905e-06
3,1992,"1","1","unique","1",4.15561861483561e-07
4,1992,"1","1","unique","1",5.37246413247145e-08
5,1992,"1","1","unique","1",1.09058549387825e-08
6,1992,"1","1","unique","1",2.61620960274867e-09
7,1992,"1","1","unique","1",5.35479133376886e-10
8,1992,"1","1","unique","1",2.41620013319818e-10
9,1992,"1","1","unique","1",7.25532551486651e-11
10,1992,"1","1","unique","1",2.33030395434657e-11
11,1992,"1","1","unique","1",7.91822175581398e-12
12,1992,"1","1","unique","1",2.78830539454852e-12
13,1992,"1","1","unique","1",1.00109339078871e-12
14,1992,"1","1","unique","1",3.64365893703413e-13
15,1992,"1","1","unique","1",2.11381527734341e-13
0,1993,"1","1","unique","1",2.89181517942616e-08
1,1993,"1","1","unique","1",2.42801962676774e-06
2,1993,"1","1","unique","1",1.66697999428602e-06
3,1993,"1","1","unique","1",3.91661831417359e-07
4,1993,"1","1","unique","1",7.53070508561468e-08
5,1993,"1","1","unique","1",1.09220373899965e-08
6,1993,"1","1","unique","1",2.74921424093722e-09
7,1993,"1","1","unique","1",7.77164428103958e-10
8,1993,"1","1","unique","1",1.72816053069927e-10
9,1993,"1","1","unique","1",8.40894535674526e-11
10,1993,"1","1","unique","1",2.72912964275628e-11
11,1993,"1","1","unique","1",9.32940778003351e-12
12,1993,"1","1","unique","1",3.29783610074597e-12
13,1993,"1","1","unique","1",1.18724901783629e-12
14,1993,"1","1","unique","1",4.32889335725439e-13
15,1993,"1","1","unique","1",2.51599794877176e-13
0,1994,"1","1","unique","1",2.56563900348204e-09
1,1994,"1","1","unique","1",9.37056715773753e-06
2,1994,"1","1","unique","1",8.75300077426865e-07
3,1994,"1","1","unique","1",3.40520293427995e-07
4,1994,"1","1","unique","1",7.3178270468392e-08
5,1994,"1","1","unique","1",1.53256477962967e-08
6,1994,"1","1","unique","1",2.62351573821811e-09
7,1994,"1","1","unique","1",7.41640738960313e-10
8,1994,"1","1","unique","1",2.16575218515281e-10
9,1994,"1","1","unique","1",4.93156759237763e-11
10,1994,"1","1","unique","1",2.48071876353337e-11
11,1994,"1","1","unique","1",8.29843639386217e-12
12,1994,"1","1","unique","1",2.88941550631988e-12
13,1994,"1","1","unique","1",1.02953691881245e-12
14,1994,"1","1","unique","1",3.72996195723412e-13
15,1994,"1","1","unique","1",2.15382307032713e-13
0,1995,"1","1","unique","1",1.73664626100753e-09
1,1995,"1","1","unique","1",1.76296901776447e-06
2,1995,"1","1","unique","1",2.92615622136151e-06
3,1995,"1","1","unique","1",1.20327871679406e-07
4,1995,"1","1","unique","1",3.71018170374243e-08
5,1995,"1","1","unique","1",8.576635771872e-09
6,1995,"1","1","unique","1",2.22890837917917e-09
7,1995,"1","1","unique","1",4.48604024578395e-10
8,1995,"1","1","unique","1",1.34422356621404e-10
9,1995,"1","1","unique","1",4.0925884084113e-11
10,1995,"1","1","unique","1",9.80438050124313e-12
11,1995,"1","1","unique","1",5.16323944240835e-12
12,1995,"1","1","unique","1",1.77836691589172e-12
13,1995,"1","1","unique","1",6.28072826349631e-13
14,1995,"1","1","unique","1",2.26244043021651e-13
15,1995,"1","1","unique","1",1.29882245164244e-13
0,1996,"1","1","unique","1",1.02543633850887e-08
1,1996,"1","1","unique","1",1.81137358145169e-06
2,1996,"1","1","unique","1",9.94367843733644e-07
3,1996,"1","1","unique","1",6.11132743733494e-07
4,1996,"1","1","unique","1",1.76750996577642e-08
5,1996,"1","1","unique","1",5.87080784636308e-09
6,1996,"1","1","unique","1",1.81402888632371e-09
7,1996,"1","1","unique","1",6.14964305456591e-10
8,1996,"1","1","unique","1",1.48629373638767e-10
9,1996,"1","1","unique","1",5.30148847793035e-11
10,1996,"1","1","unique","1",1.90888904906248e-11
11,1996,"1","1","unique","1",5.2226672283447e-12
12,1996,"1","1","unique","1",3.0034580934873e-12
13,1996,"1","1","unique","1",1.0921198645282e-12
14,1996,"1","1","unique","1",4.00267157555313e-13
15,1996,"1","1","unique","1",2.33883813815889e-13
0,1997,"1","1","unique","1",7.95140914365945e-09
1,1997,"1","1","unique","1",4.66307948116952e-06
2,1997,"1","1","unique","1",7.24908469325218e-07
3,1997,"1","1","unique","1",1.78484690586692e-07
4,1997,"1","1","unique","1",9.61285768011913e-08
5,1997,"1","1","unique","1",3.2523411961417e-09
6,1997,"1","1","unique","1",1.42194233482137e-09
7,1997,"1","1","unique","1",5.45357208076673e-10
8,1997,"1","1","unique","1",2.09348883065281e-10
9,1997,"1","1","unique","1",5.57092336281972e-11
10,1997,"1","1","unique","1",2.15370308424812e-11
11,1997,"1","1","unique","1",8.21253317865686e-12
12,1997,"1","1","unique","1",2.32605437685272e-12
13,1997,"1","1","unique","1",1.36371534668454e-12
14,1997,"1","1","unique","1",5.02291911356301e-13
15,1997,"1","1","unique","1",2.94390790480689e-13
0,1998,"1","1","unique","1",4.37287238186562e-15
1,1998,"1","1","unique","1",4.67227132597453e-07
2,1998,"1","1","unique","1",1.21409138776316e-06
3,1998,"1","1","unique","1",1.170371028532e-07
4,1998,"1","1","unique","1",2.68356915975942e-08
5,1998,"1","1","unique","1",1.51156592893579e-08
6,1998,"1","1","unique","1",5.95209443266416e-10
7,1998,"1","1","unique","1",2.98362986695338e-10
8,1998,"1","1","unique","1",1.2311147130737e-10
9,1998,"1","1","unique","1",5.00212303849407e-11
10,1998,"1","1","unique","1",1.39942046021504e-11
11,1998,"1","1","unique","1",5.61079322198292e-12
12,1998,"1","1","unique","1",2.18597097541535e-12
13,1998,"1","1","unique","1",6.26050404658661e-13
14,1998,"1","1","unique","1",3.69841930133388e-13
15,1998,"1","1","unique","1",2.17036154616365e-13
0,1999,"1","1","unique","1",1.33567742275975e-15
1,1999,"1","1","unique","1",1.23554584923817e-06
2,1999,"1","1","unique","1",9.02101439702742e-07
3,1999,"1","1","unique","1",2.64800132298689e-07
4,1999,"1","1","unique","1",2.02854800704732e-08
5,1999,"1","1","unique","1",4.37792391999601e-09
6,1999,"1","1","unique","1",2.69872940201543e-09
7,1999,"1","1","unique","1",1.18562963121217e-10
8,1999,"1","1","unique","1",6.32286317210422e-11
9,1999,"1","1","unique","1",2.75135190144629e-11
10,1999,"1","1","unique","1",1.17587395396936e-11
11,1999,"1","1","unique","1",3.4172982378059e-12
12,1999,"1","1","unique","1",1.40161981870329e-12
13,1999,"1","1","unique","1",5.52569363761863e-13
14,1999,"1","1","unique","1",1.5954687834078e-13
15,1999,"1","1","unique","1",1.5022563734105e-13
0,2000,"1","1","unique","1",7.81868654956562e-16
1,2000,"1","1","unique","1",5.57386089701326e-07
2,2000,"1","1","unique","1",2.64573459373e-06
3,2000,"1","1","unique","1",2.1651763232387e-07
4,2000,"1","1","unique","1",4.36186969270032e-08
5,2000,"1","1","unique","1",3.2927073752705e-09
6,2000,"1","1","unique","1",9.00128500027606e-10
7,2000,"1","1","unique","1",7.10373817689674e-10
8,2000,"1","1","unique","1",3.63849632926834e-11
9,2000,"1","1","unique","1",2.15827436318779e-11
10,2000,"1","1","unique","1",1.01893955859519e-11
11,2000,"1","1","unique","1",4.60572027357405e-12
12,2000,"1","1","unique","1",1.3833772548795e-12
13,2000,"1","1","unique","1",5.77503880386879e-13
14,2000,"1","1","unique","1",2.30324907334284e-13
15,2000,"1","1","unique","1",1.3032376192916e-13
0,2001,"1","1","unique","1",6.29242422322472e-16
1,2001,"1","1","unique","1",1.27156338375951e-07
2,2001,"1","1","unique","1",7.55753195136185e-07
3,2001,"1","1","unique","1",3.39357531908411e-07
4,2001,"1","1","unique","1",2.00068711987159e-08
5,2001,"1","1","unique","1",4.00575620789048e-09
6,2001,"1","1","unique","1",3.68586434914255e-10
7,2001,"1","1","unique","1",1.21811100350159e-10
8,2001,"1","1","unique","1",1.06597618658606e-10
9,2001,"1","1","unique","1",5.85381207888331e-12
10,2001,"1","1","unique","1",3.59264950981092e-12
11,2001,"1","1","unique","1",1.72347891772867e-12
12,2001,"1","1","unique","1",7.79760457151282e-13
13,2001,"1","1","unique","1",2.32474920721012e-13
14,2001,"1","1","unique","1",9.66163428542219e-14
15,2001,"1","1","unique","1",5.96985205743126e-14
0,2002,"1","1","unique","1",3.49710267885545e-16
1,2002,"1","1","unique","1",1.38503373002823e-07
2,2002,"1","1","unique","1",1.72412638034537e-07
3,2002,"1","1","unique","1",7.42002670110273e-08
4,2002,"1","1","unique","1",2.46485899505228e-08
5,2002,"1","1","unique","1",1.67321276582879e-09
6,2002,"1","1","unique","1",4.2326257631855e-10
7,2002,"1","1","unique","1",4.57432741722045e-11
8,2002,"1","1","unique","1",1.6677919328979e-11
9,2002,"1","1","unique","1",1.61783021038492e-11
10,2002,"1","1","unique","1",9.67575836302037e-13
11,2002,"1","1","unique","1",6.47480095080213e-13
12,2002,"1","1","unique","1",3.30625795466811e-13
13,2002,"1","1","unique","1",1.56130158232908e-13
14,2002,"1","1","unique","1",4.81112816702756e-14
15,2002,"1","1","unique","1",3.32467281673263e-14
0,2003,"1","1","unique","1",3.71457037426832e-16
1,2003,"1","1","unique","1",3.02647667100078e-07
2,2003,"1","1","unique","1",7.30278537283462e-07
3,2003,"1","1","unique","1",1.1058882261711e-07
4,2003,"1","1","unique","1",4.22158642264485e-08
5,2003,"1","1","unique","1",1.32747716623954e-08
6,2003,"1","1","unique","1",9.8530828919562e-10
7,2003,"1","1","unique","1",3.00674930384208e-10
8,2003,"1","1","unique","1",3.742127321203e-11
9,2003,"1","1","unique","1",1.47575423978974e-11
10,2003,"1","1","unique","1",1.51935798436306e-11
11,2003,"1","1","unique","1",9.57847312153459e-13
12,2003,"1","1","unique","1",6.64673907897778e-13
13,2003,"1","1","unique","1",3.47773549086208e-13
14,2003,"1","1","unique","1",1.67011689713777e-13
15,2003,"1","1","unique","1",8.83050205938113e-14
0,2004,"1","1","unique","1",2.1711300606463e-15
1,2004,"1","1","unique","1",1.36803458130202e-07
2,2004,"1","1","unique","1",8.82942664875556e-07
3,2004,"1","1","unique","1",2.15618404274676e-07
4,2004,"1","1","unique","1",2.54789179569236e-08
5,2004,"1","1","unique","1",9.61276584519246e-09
6,2004,"1","1","unique","1",3.63514985316912e-09
7,2004,"1","1","unique","1",3.21528346344732e-10
8,2004,"1","1","unique","1",1.08758697460956e-10
9,2004,"1","1","unique","1",1.51354331533977e-11
10,2004,"1","1","unique","1",6.69268536771192e-12
11,2004,"1","1","unique","1",7.34455767912838e-12
12,2004,"1","1","unique","1",4.75994224126922e-13
13,2004,"1","1","unique","1",3.33426930766068e-13
14,2004,"1","1","unique","1",1.74892557846164e-13
15,2004,"1","1","unique","1",1.28060771498121e-13
0,2005,"1","1","unique","1",1.15731560556502e-15
1,2005,"1","1","unique","1",6.88975549641051e-07
2,2005,"1","1","unique","1",3.7686564612046e-07
3,2005,"1","1","unique","1",2.04239038339379e-07
4,2005,"1","1","unique","1",3.51406361645104e-08
5,2005,"1","1","unique","1",4.57955468841333e-09
6,2005,"1","1","unique","1",2.40688284183962e-09
7,2005,"1","1","unique","1",8.97972335823137e-10
8,2005,"1","1","unique","1",1.17489951413647e-10
9,2005,"1","1","unique","1",3.56412305631632e-11
10,2005,"1","1","unique","1",7.84834529909437e-12
11,2005,"1","1","unique","1",3.8245006293837e-12
12,2005,"1","1","unique","1",3.18532031281561e-12
13,2005,"1","1","unique","1",2.67462400917384e-13
14,2005,"1","1","unique","1",2.2104651349157e-13
15,2005,"1","1","unique","1",1.79277938864102e-13
0,2006,"1","1","unique","1",1.02778225349202e-15
1,2006,"1","1","unique","1",5.1726383298408e-07
2,2006,"1","1","unique","1",1.90527380963323e-06
3,2006,"1","1","unique","1",1.25030453872887e-07
4,2006,"1","1","unique","1",4.81735178722347e-08
5,2006,"1","1","unique","1",8.54436504202772e-09
6,2006,"1","1","unique","1",1.22351197371331e-09
7,2006,"1","1","unique","1",6.37627221828208e-10
8,2006,"1","1","unique","1",3.36223915163489e-10
9,2006,"1","1","unique","1",3.35353555696264e-11
10,2006,"1","1","unique","1",1.41148852082594e-11
11,2006,"1","1","unique","1",2.20134831444206e-12
12,2006,"1","1","unique","1",9.70203263891166e-13
13,2006,"1","1","unique","1",1.18683744543811e-12
14,2006,"1","1","unique","1",8.30926541235578e-14
15,2006,"1","1","unique","1",1.10195099704948e-13
0,2007,"1","1","unique","1",4.30577129044748e-16
1,2007,"1","1","unique","1",1.49603994414848e-07
2,2007,"1","1","unique","1",7.29604759298214e-07
3,2007,"1","1","unique","1",2.36817891688515e-07
4,2007,"1","1","unique","1",1.07568667392313e-08
5,2007,"1","1","unique","1",4.4509816176677e-09
6,2007,"1","1","unique","1",1.07499623756742e-09
7,2007,"1","1","unique","1",1.79170972787363e-10
8,2007,"1","1","unique","1",1.20533730029418e-10
9,2007,"1","1","unique","1",5.71019504688856e-11
10,2007,"1","1","unique","1",7.33814876158475e-12
11,2007,"1","1","unique","1",2.92094177039027e-12
12,2007,"1","1","unique","1",3.83034206489994e-13
13,2007,"1","1","unique","1",2.07841413710614e-13
14,2007,"1","1","unique","1",2.61900745845016e-13
15,2007,"1","1","unique","1",3.87058613523271e-14
0,2008,"1","1","unique","1",7.64926271312767e-16
1,2008,"1","1","unique","1",1.33831177559028e-07
2,2008,"1","1","unique","1",4.13524679975427e-07
3,2008,"1","1","unique","1",1.54166534608219e-07
4,2008,"1","1","unique","1",3.49443140493205e-08
5,2008,"1","1","unique","1",1.77074039430235e-09
6,2008,"1","1","unique","1",9.52163939494387e-10
7,2008,"1","1","unique","1",2.48507021136781e-10
8,2008,"1","1","unique","1",5.3838870341699e-11
9,2008,"1","1","unique","1",3.1970567448472e-11
10,2008,"1","1","unique","1",2.11154182387319e-11
11,2008,"1","1","unique","1",2.43620537055418e-12
12,2008,"1","1","unique","1",8.40682876639686e-13
13,2008,"1","1","unique","1",1.49152449212692e-13
14,2008,"1","1","unique","1",7.84628986887061e-14
15,2008,"1","1","unique","1",9.84342971988968e-14
0,1990,"2","1","unique","1",0
1,1990,"2","1","unique","1",3.57913112591746e-06
2,1990,"2","1","unique","1",1.97368942003867e-06
3,1990,"2","1","unique","1",4.76267510727436e-07
4,1990,"2","1","unique","1",8.86756194686897e-08
5,1990,"2","1","unique","1",1.2007555733609e-08
6,1990,"2","1","unique","1",3.94545352941372e-09
7,1990,"2","1","unique","1",9.56594949695847e-10
8,1990,"2","1","unique","1",2.52436821965189e-10
9,1990,"2","1","unique","1",7.18729722089786e-11
10,1990,"2","1","unique","1",2.22113736987502e-11
11,1990,"2","1","unique","1",7.35555269910256e-12
12,1990,"2","1","unique","1",2.54758537483596e-12
13,1990,"2","1","unique","1",9.04462770007894e-13
14,1990,"2","1","unique","1",3.26864685050755e-13
15,1990,"2","1","unique","1",1.88306924786167e-13
0,1991,"2","1","unique","1",0
1,1991,"2","1","unique","1",5.03875899294608e-06
2,1991,"2","1","unique","1",2.4291754932609e-06
3,1991,"2","1","unique","1",4.38379242155968e-07
4,1991,"2","1","unique","1",8.0994138570153e-08
5,1991,"2","1","unique","1",1.53489095104754e-08
6,1991,"2","1","unique","1",2.57234813643963e-09
7,1991,"2","1","unique","1",1.04095773386142e-09
8,1991,"2","1","unique","1",2.87439324853486e-10
9,1991,"2","1","unique","1",8.56054565276526e-11
10,1991,"2","1","unique","1",2.74705590105631e-11
11,1991,"2","1","unique","1",9.34151698793146e-12
12,1991,"2","1","unique","1",3.29241017176863e-12
13,1991,"2","1","unique","1",1.18306196462387e-12
14,1991,"2","1","unique","1",4.30828618826005e-13
15,1991,"2","1","unique","1",2.50169501732653e-13
0,1992,"2","1","unique","1",0
1,1992,"2","1","unique","1",1.71368026425817e-06
2,1992,"2","1","unique","1",2.46533980219478e-06
3,1992,"2","1","unique","1",4.22587021909056e-07
4,1992,"2","1","unique","1",6.46971928506103e-08
5,1992,"2","1","unique","1",1.22252184088707e-08
6,1992,"2","1","unique","1",2.74810414343732e-09
7,1992,"2","1","unique","1",5.44261658628818e-10
8,1992,"2","1","unique","1",2.40817690386593e-10
9,1992,"2","1","unique","1",7.14477040050849e-11
10,1992,"2","1","unique","1",2.27886921347592e-11
11,1992,"2","1","unique","1",7.71371014328989e-12
12,1992,"2","1","unique","1",2.71060594009012e-12
13,1992,"2","1","unique","1",9.72077797589716e-13
14,1992,"2","1","unique","1",3.53572117167975e-13
15,1992,"2","1","unique","1",2.0509974376871e-13
0,1993,"2","1","unique","1",0
1,1993,"2","1","unique","1",5.8019830500517e-06
2,1993,"2","1","unique","1",1.1855528359884e-06
3,1993,"2","1","unique","1",5.61593507194065e-07
4,1993,"2","1","unique","1",7.76844615457872e-08
5,1993,"2","1","unique","1",1.24862796316184e-08
6,1993,"2","1","unique","1",2.89266633751491e-09
7,1993,"2","1","unique","1",7.81194037629215e-10
8,1993,"2","1","unique","1",1.71301632502363e-10
9,1993,"2","1","unique","1",8.26805398677794e-11
10,1993,"2","1","unique","1",2.66803234307602e-11
11,1993,"2","1","unique","1",9.08768745603232e-12
12,1993,"2","1","unique","1",3.20574782881039e-12
13,1993,"2","1","unique","1",1.1527607613289e-12
14,1993,"2","1","unique","1",4.20042605884851e-13
15,1993,"2","1","unique","1",2.44108429395647e-13
0,1994,"2","1","unique","1",0
1,1994,"2","1","unique","1",2.44456343214525e-06
2,1994,"2","1","unique","1",3.1734000116903e-06
3,1994,"2","1","unique","1",2.58190498866136e-07
4,1994,"2","1","unique","1",1.0645264582446e-07
5,1994,"2","1","unique","1",1.5174519546696e-08
6,1994,"2","1","unique","1",2.84670321863946e-09
7,1994,"2","1","unique","1",7.52487230506362e-10
8,1994,"2","1","unique","1",2.13334742033171e-10
9,1994,"2","1","unique","1",4.83667377514821e-11
10,1994,"2","1","unique","1",2.42563755970188e-11
11,1994,"2","1","unique","1",8.08883206465819e-12
12,1994,"2","1","unique","1",2.81008360389651e-12
13,1994,"2","1","unique","1",9.99899233235633e-13
14,1994,"2","1","unique","1",3.61975304053787e-13
15,1994,"2","1","unique","1",2.09077768578339e-13
0,1995,"2","1","unique","1",0
1,1995,"2","1","unique","1",3.76254170281939e-06
