param,year,unit,season,area,iter,data
a,1990,unique,1,unique,1,NA
b,1990,unique,1,unique,1,NA
a,1991,unique,1,unique,1,NA
b,1991,unique,1,unique,1,NA
a,1992,unique,1,unique,1,NA
b,1992,unique,1,unique,1,NA
a,1993,unique,1,unique,1,NA
b,1993,unique,1,unique,1,NA
a,1994,unique,1,unique,1,NA
b,1994,unique,1,unique,1,NA
a,1995,unique,1,unique,1,NA
b,1995,unique,1,unique,1,NA
a,1996,unique,1,unique,1,NA
b,1996,unique,1,unique,1,NA
a,1997,unique,1,unique,1,NA
b,1997,unique,1,unique,1,NA
a,1998,unique,1,unique,1,NA
b,1998,unique,1,unique,1,NA
a,1999,unique,1,unique,1,NA
b,1999,unique,1,unique,1,NA
a,2000,unique,1,unique,1,NA
b,2000,unique,1,unique,1,NA
a,2001,unique,1,unique,1,NA
b,2001,unique,1,unique,1,NA
a,2002,unique,1,unique,1,NA
b,2002,unique,1,unique,1,NA
a,2003,unique,1,unique,1,NA
b,2003,unique,1,unique,1,NA
a,2004,unique,1,unique,1,NA
b,2004,unique,1,unique,1,NA
a,2005,unique,1,unique,1,NA
b,2005,unique,1,unique,1,NA
a,2006,unique,1,unique,1,NA
b,2006,unique,1,unique,1,NA
a,2007,unique,1,unique,1,NA
b,2007,unique,1,unique,1,NA
a,2008,unique,1,unique,1,NA
b,2008,unique,1,unique,1,NA
a,2009,unique,1,unique,1,1036493.663
b,2009,unique,1,unique,1,182589.7785
a,2010,unique,1,unique,1,1033313.714
b,2010,unique,1,unique,1,156191.0474
a,2011,unique,1,unique,1,999587.8309
b,2011,unique,1,unique,1,141546.3377
a,2012,unique,1,unique,1,971917.7992
b,2012,unique,1,unique,1,147595.8789
a,2013,unique,1,unique,1,943777.9214
b,2013,unique,1,unique,1,94518.99395
a,2014,unique,1,unique,1,959843.6151
b,2014,unique,1,unique,1,150858.4065
a,2015,unique,1,unique,1,950529.3
b,2015,unique,1,unique,1,120474.1713
a,2016,unique,1,unique,1,986452.4441
b,2016,unique,1,unique,1,120312.2766
a,2017,unique,1,unique,1,992320.0147
b,2017,unique,1,unique,1,120526.2459
a,2018,unique,1,unique,1,1020397.086
b,2018,unique,1,unique,1,176434.32
a,2019,unique,1,unique,1,874523.4877
b,2019,unique,1,unique,1,87921.52026
a,2020,unique,1,unique,1,1017451.497
b,2020,unique,1,unique,1,165428.4479
a,2021,unique,1,unique,1,935696.7286
b,2021,unique,1,unique,1,96153.22252
a,2022,unique,1,unique,1,996362.5433
b,2022,unique,1,unique,1,162682.0054
a,2023,unique,1,unique,1,985177.1126
b,2023,unique,1,unique,1,145202.7945
a,2024,unique,1,unique,1,976876.0128
b,2024,unique,1,unique,1,128415.8517
a,2025,unique,1,unique,1,987055.5352
b,2025,unique,1,unique,1,132838.3741
a,1990,unique,2,unique,1,NA
b,1990,unique,2,unique,1,NA
a,1991,unique,2,unique,1,NA
b,1991,unique,2,unique,1,NA
a,1992,unique,2,unique,1,NA
b,1992,unique,2,unique,1,NA
a,1993,unique,2,unique,1,NA
b,1993,unique,2,unique,1,NA
a,1994,unique,2,unique,1,NA
b,1994,unique,2,unique,1,NA
a,1995,unique,2,unique,1,NA
b,1995,unique,2,unique,1,NA
a,1996,unique,2,unique,1,NA
b,1996,unique,2,unique,1,NA
a,1997,unique,2,unique,1,NA
b,1997,unique,2,unique,1,NA
a,1998,unique,2,unique,1,NA
b,1998,unique,2,unique,1,NA
a,1999,unique,2,unique,1,NA
b,1999,unique,2,unique,1,NA
a,2000,unique,2,unique,1,NA
b,2000,unique,2,unique,1,NA
a,2001,unique,2,unique,1,NA
b,2001,unique,2,unique,1,NA
a,2002,unique,2,unique,1,NA
b,2002,unique,2,unique,1,NA
a,2003,unique,2,unique,1,NA
b,2003,unique,2,unique,1,NA
a,2004,unique,2,unique,1,NA
b,2004,unique,2,unique,1,NA
a,2005,unique,2,unique,1,NA
b,2005,unique,2,unique,1,NA
a,2006,unique,2,unique,1,NA
b,2006,unique,2,unique,1,NA
a,2007,unique,2,unique,1,NA
b,2007,unique,2,unique,1,NA
a,2008,unique,2,unique,1,NA
b,2008,unique,2,unique,1,NA
a,2009,unique,2,unique,1,927190.8973
b,2009,unique,2,unique,1,103055.5468
a,2010,unique,2,unique,1,1015854.598
b,2010,unique,2,unique,1,143428.8734
a,2011,unique,2,unique,1,1013737.815
b,2011,unique,2,unique,1,154861.3934
a,2012,unique,2,unique,1,1020107.377
b,2012,unique,2,unique,1,162953.2227
a,2013,unique,2,unique,1,988808.6165
b,2013,unique,2,unique,1,164822.7257
a,2014,unique,2,unique,1,980455.1576
b,2014,unique,2,unique,1,152070.4473
a,2015,unique,2,unique,1,987345.8689
b,2015,unique,2,unique,1,135568.961
a,2016,unique,2,unique,1,948605.9349
b,2016,unique,2,unique,1,116411.152
a,2017,unique,2,unique,1,986724.3946
b,2017,unique,2,unique,1,166401.5436
a,2018,unique,2,unique,1,953934.5037
b,2018,unique,2,unique,1,111112.2231
a,2019,unique,2,unique,1,959440.0754
b,2019,unique,2,unique,1,130687.4043
a,2020,unique,2,unique,1,952277.4608
b,2020,unique,2,unique,1,124394.8761
a,2021,unique,2,unique,1,885271.233
b,2021,unique,2,unique,1,75314.03592
a,2022,unique,2,unique,1,1058432.922
b,2022,unique,2,unique,1,195875.645
a,2023,unique,2,unique,1,995772.9545
b,2023,unique,2,unique,1,123694.7857
a,2024,unique,2,unique,1,958760.361
b,2024,unique,2,unique,1,129649.3839
a,2025,unique,2,unique,1,903419.7193
b,2025,unique,2,unique,1,91017.94674
a,1990,unique,3,unique,1,NA
b,1990,unique,3,unique,1,NA
a,1991,unique,3,unique,1,NA
b,1991,unique,3,unique,1,NA
a,1992,unique,3,unique,1,NA
b,1992,unique,3,unique,1,NA
a,1993,unique,3,unique,1,NA
b,1993,unique,3,unique,1,NA
a,1994,unique,3,unique,1,NA
b,1994,unique,3,unique,1,NA
a,1995,unique,3,unique,1,NA
b,1995,unique,3,unique,1,NA
a,1996,unique,3,unique,1,NA
b,1996,unique,3,unique,1,NA
a,1997,unique,3,unique,1,NA
b,1997,unique,3,unique,1,NA
a,1998,unique,3,unique,1,NA
b,1998,unique,3,unique,1,NA
a,1999,unique,3,unique,1,NA
b,1999,unique,3,unique,1,NA
a,2000,unique,3,unique,1,NA
b,2000,unique,3,unique,1,NA
