"age","year","unit","season","area","iter","data"
0,1990,"1","1","unique","1",0
1,1990,"1","1","unique","1",4.3089311821996e-07
2,1990,"1","1","unique","1",3.09325390933333e-07
3,1990,"1","1","unique","1",1.19789705079372e-07
4,1990,"1","1","unique","1",2.77423137688609e-08
5,1990,"1","1","unique","1",4.70108704585411e-09
6,1990,"1","1","unique","1",2.11366008310289e-09
7,1990,"1","1","unique","1",7.33184849016797e-10
8,1990,"1","1","unique","1",2.85109100572313e-10
9,1990,"1","1","unique","1",1.12205856718773e-10
10,1990,"1","1","unique","1",4.34223289486676e-11
11,1990,"1","1","unique","1",1.65133395808308e-11
12,1990,"1","1","unique","1",6.22114858390236e-12
13,1990,"1","1","unique","1",2.33411758754812e-12
14,1990,"1","1","unique","1",8.72551438763492e-13
15,1990,"1","1","unique","1",5.19883169273187e-13
0,1991,"1","1","unique","1",0
1,1991,"1","1","unique","1",3.11047943598875e-07
2,1991,"1","1","unique","1",3.42045787853852e-07
3,1991,"1","1","unique","1",9.17542612823005e-08
4,1991,"1","1","unique","1",2.24204215001754e-08
5,1991,"1","1","unique","1",5.31072998447097e-09
6,1991,"1","1","unique","1",1.17803299572023e-09
7,1991,"1","1","unique","1",6.58405968227264e-10
8,1991,"1","1","unique","1",2.57005971465494e-10
9,1991,"1","1","unique","1",1.01249358363733e-10
10,1991,"1","1","unique","1",3.92001349459148e-11
11,1991,"1","1","unique","1",1.49128535740331e-11
12,1991,"1","1","unique","1",5.61979271188454e-12
13,1991,"1","1","unique","1",2.10897256566888e-12
14,1991,"1","1","unique","1",7.88521634730918e-13
15,1991,"1","1","unique","1",4.69923238384322e-13
0,1992,"1","1","unique","1",0
1,1992,"1","1","unique","1",2.1057184911136e-07
2,1992,"1","1","unique","1",2.55279551453158e-07
3,1992,"1","1","unique","1",1.00305481752093e-07
4,1992,"1","1","unique","1",1.69901477887226e-08
5,1992,"1","1","unique","1",4.20249518074101e-09
6,1992,"1","1","unique","1",1.2970286155741e-09
7,1992,"1","1","unique","1",3.58354823613088e-10
8,1992,"1","1","unique","1",2.26081716286637e-10
9,1992,"1","1","unique","1",8.95990448094284e-11
10,1992,"1","1","unique","1",3.4766582933136e-11
11,1992,"1","1","unique","1",1.3240479992399e-11
12,1992,"1","1","unique","1",4.99288607291237e-12
13,1992,"1","1","unique","1",1.87455498557469e-12
14,1992,"1","1","unique","1",7.01093678444138e-13
15,1992,"1","1","unique","1",4.17956607959411e-13
0,1993,"1","1","unique","1",0
1,1993,"1","1","unique","1",1.17649586128792e-07
2,1993,"1","1","unique","1",2.11024791655424e-07
3,1993,"1","1","unique","1",9.02679329442898e-08
4,1993,"1","1","unique","1",2.28435422544604e-08
5,1993,"1","1","unique","1",4.0264243433573e-09
6,1993,"1","1","unique","1",1.29749629292604e-09
7,1993,"1","1","unique","1",4.91837605071689e-10
8,1993,"1","1","unique","1",1.51481300192484e-10
9,1993,"1","1","unique","1",9.62856106599908e-11
10,1993,"1","1","unique","1",3.7430485084192e-11
11,1993,"1","1","unique","1",1.42567368195737e-11
12,1993,"1","1","unique","1",5.37621053230283e-12
13,1993,"1","1","unique","1",2.01868616878381e-12
14,1993,"1","1","unique","1",7.55112772310935e-13
15,1993,"1","1","unique","1",4.50242504762007e-13
0,1994,"1","1","unique","1",0
1,1994,"1","1","unique","1",5.85237630985166e-07
2,1994,"1","1","unique","1",1.24034779772171e-07
3,1994,"1","1","unique","1",7.9896548000111e-08
4,1994,"1","1","unique","1",2.25564832746736e-08
5,1994,"1","1","unique","1",6.01617286111405e-09
6,1994,"1","1","unique","1",1.38304013383767e-09
7,1994,"1","1","unique","1",5.46114865173653e-10
8,1994,"1","1","unique","1",2.30267657404338e-10
9,1994,"1","1","unique","1",7.13537365096899e-11
10,1994,"1","1","unique","1",4.44533621086867e-11
11,1994,"1","1","unique","1",1.69557246567472e-11
12,1994,"1","1","unique","1",6.39323178520631e-12
13,1994,"1","1","unique","1",2.40026792649832e-12
14,1994,"1","1","unique","1",8.97871131149853e-13
15,1994,"1","1","unique","1",5.35441605935785e-13
0,1995,"1","1","unique","1",0
1,1995,"1","1","unique","1",1.39644205338564e-07
2,1995,"1","1","unique","1",4.66071093260834e-07
3,1995,"1","1","unique","1",2.97075501164519e-08
4,1995,"1","1","unique","1",1.20022117525048e-08
5,1995,"1","1","unique","1",3.58749062710708e-09
6,1995,"1","1","unique","1",1.27639941897337e-09
7,1995,"1","1","unique","1",3.6640530021719e-10
8,1995,"1","1","unique","1",1.62809473016891e-10
9,1995,"1","1","unique","1",6.95095007029983e-11
10,1995,"1","1","unique","1",2.11829377949559e-11
11,1995,"1","1","unique","1",1.2972064603083e-11
12,1995,"1","1","unique","1",4.90295924476152e-12
13,1995,"1","1","unique","1",1.84157573911561e-12
14,1995,"1","1","unique","1",6.89026318770178e-13
15,1995,"1","1","unique","1",4.11058810992044e-13
0,1996,"1","1","unique","1",0
1,1996,"1","1","unique","1",6.37273917495399e-08
2,1996,"1","1","unique","1",9.5571982103482e-08
3,1996,"1","1","unique","1",1.09456457909771e-07
4,1996,"1","1","unique","1",4.26421484489631e-09
5,1996,"1","1","unique","1",1.75587860803082e-09
6,1996,"1","1","unique","1",6.99336959801175e-10
7,1996,"1","1","unique","1",3.15490374382492e-10
8,1996,"1","1","unique","1",1.03328767735855e-10
9,1996,"1","1","unique","1",4.68890156337583e-11
10,1996,"1","1","unique","1",1.97796923209842e-11
11,1996,"1","1","unique","1",5.93956384804139e-12
12,1996,"1","1","unique","1",3.60885471868079e-12
13,1996,"1","1","unique","1",1.35971331979964e-12
14,1996,"1","1","unique","1",5.09157555272909e-13
15,1996,"1","1","unique","1",3.03956342387007e-13
0,1997,"1","1","unique","1",0
1,1997,"1","1","unique","1",1.38378239730394e-07
2,1997,"1","1","unique","1",6.3553590527442e-08
3,1997,"1","1","unique","1",3.1606184368121e-08
4,1997,"1","1","unique","1",2.29548609986163e-08
5,1997,"1","1","unique","1",9.26773602723188e-10
6,1997,"1","1","unique","1",5.03963975133595e-10
7,1997,"1","1","unique","1",2.50356363605748e-10
8,1997,"1","1","unique","1",1.27227933789377e-10
9,1997,"1","1","unique","1",4.22311560499621e-11
10,1997,"1","1","unique","1",1.88567370920178e-11
11,1997,"1","1","unique","1",7.82081516085771e-12
12,1997,"1","1","unique","1",2.32740416271789e-12
13,1997,"1","1","unique","1",1.40874368427218e-12
14,1997,"1","1","unique","1",5.28958131989955e-13
15,1997,"1","1","unique","1",3.16012362373286e-13
0,1998,"1","1","unique","1",0
1,1998,"1","1","unique","1",8.86511622871803e-08
2,1998,"1","1","unique","1",1.08245975764857e-07
3,1998,"1","1","unique","1",1.78973784436681e-08
4,1998,"1","1","unique","1",5.61552283801997e-09
5,1998,"1","1","unique","1",4.05196747977912e-09
6,1998,"1","1","unique","1",2.11024758022723e-10
7,1998,"1","1","unique","1",1.42590480793159e-10
8,1998,"1","1","unique","1",7.99529309659672e-11
9,1998,"1","1","unique","1",4.12595022416238e-11
10,1998,"1","1","unique","1",1.34902974547397e-11
11,1998,"1","1","unique","1",5.92515122314745e-12
12,1998,"1","1","unique","1",2.43583078939922e-12
13,1998,"1","1","unique","1",7.2215870996319e-13
14,1998,"1","1","unique","1",4.35617298565056e-13
15,1998,"1","1","unique","1",2.6102916738607e-13
0,1999,"1","1","unique","1",0
1,1999,"1","1","unique","1",1.79275190917333e-07
2,1999,"1","1","unique","1",6.33907216782409e-08
3,1999,"1","1","unique","1",2.84405923475557e-08
4,1999,"1","1","unique","1",3.05184618593651e-09
5,1999,"1","1","unique","1",9.35767124963622e-10
6,1999,"1","1","unique","1",8.44902820418834e-10
7,1999,"1","1","unique","1",5.36579790486305e-11
8,1999,"1","1","unique","1",4.05264810943259e-11
9,1999,"1","1","unique","1",2.29542664353723e-11
10,1999,"1","1","unique","1",1.16328553172475e-11
11,1999,"1","1","unique","1",3.73461656638289e-12
12,1999,"1","1","unique","1",1.62406106885483e-12
13,1999,"1","1","unique","1",6.64685292976107e-13
14,1999,"1","1","unique","1",1.96300697016319e-13
15,1999,"1","1","unique","1",1.89098854981255e-13
0,2000,"1","1","unique","1",0
1,2000,"1","1","unique","1",1.22064649256929e-07
2,2000,"1","1","unique","1",2.14260512947585e-07
3,2000,"1","1","unique","1",2.68200503891461e-08
4,2000,"1","1","unique","1",7.51137663775258e-09
5,2000,"1","1","unique","1",7.7824392987758e-10
6,2000,"1","1","unique","1",3.0065332376202e-10
7,2000,"1","1","unique","1",3.34515070853646e-10
8,2000,"1","1","unique","1",2.39280011504744e-11
9,2000,"1","1","unique","1",1.83369575372088e-11
10,2000,"1","1","unique","1",1.02242227812919e-11
11,2000,"1","1","unique","1",5.09407292665943e-12
12,2000,"1","1","unique","1",1.62031074508856e-12
13,2000,"1","1","unique","1",7.01755427680167e-13
14,2000,"1","1","unique","1",2.86162228282435e-13
15,2000,"1","1","unique","1",1.65576911254456e-13
0,2001,"1","1","unique","1",0
1,2001,"1","1","unique","1",2.16435856203971e-08
2,2001,"1","1","unique","1",3.63439517948469e-08
3,2001,"1","1","unique","1",2.62145567313554e-08
4,2001,"1","1","unique","1",2.0620431130152e-09
5,2001,"1","1","unique","1",5.52431879336881e-10
6,2001,"1","1","unique","1",8.12635249811916e-11
7,2001,"1","1","unique","1",4.51952635154105e-11
8,2001,"1","1","unique","1",6.31413203005355e-11
9,2001,"1","1","unique","1",4.86307809656093e-12
10,2001,"1","1","unique","1",3.86260370141601e-12
11,2001,"1","1","unique","1",2.18790594447783e-12
