"age","year","unit","season","area","iter","data"
11,1999,"unique","all","unique","1",3.76747930750746
12,1999,"unique","all","unique","1",0.934703859448432
1,2000,"unique","all","unique","1",968.10521150357
2,2000,"unique","all","unique","1",700.52051685695
3,2000,"unique","all","unique","1",618.375576456924
4,2000,"unique","all","unique","1",498.734137354973
5,2000,"unique","all","unique","1",291.659350742763
6,2000,"unique","all","unique","1",159.698125682282
7,2000,"unique","all","unique","1",100.901861050385
8,2000,"unique","all","unique","1",63.609302636167
9,2000,"unique","all","unique","1",30.7762237919074
10,2000,"unique","all","unique","1",13.3579963837501
11,2000,"unique","all","unique","1",4.53407340288258
12,2000,"unique","all","unique","1",1.32608169014706
1,2001,"unique","all","unique","1",1066.31188198808
2,2001,"unique","all","unique","1",789.357151636824
3,2001,"unique","all","unique","1",555.24387101669
4,2001,"unique","all","unique","1",445.341851890303
5,2001,"unique","all","unique","1",320.51878715809
6,2001,"unique","all","unique","1",160.769530184076
7,2001,"unique","all","unique","1",90.6506150939821
8,2001,"unique","all","unique","1",58.8506859564338
9,2001,"unique","all","unique","1",36.7122836508323
10,2001,"unique","all","unique","1",16.2755277443899
11,2001,"unique","all","unique","1",6.05033747749691
12,2001,"unique","all","unique","1",1.73844559549216
1,2002,"unique","all","unique","1",1317.08581523634
2,2002,"unique","all","unique","1",870.348809811866
3,2002,"unique","all","unique","1",627.263685393591
4,2002,"unique","all","unique","1",416.276810376772
5,2002,"unique","all","unique","1",306.70620703446
6,2002,"unique","all","unique","1",215.773305622296
7,2002,"unique","all","unique","1",101.382701105071
8,2002,"unique","all","unique","1",57.9079113088187
9,2002,"unique","all","unique","1",35.5894940958858
10,2002,"unique","all","unique","1",19.984943312914
11,2002,"unique","all","unique","1",8.1761111820967
12,2002,"unique","all","unique","1",3.08147269354451
1,2003,"unique","all","unique","1",1439.21180210944
2,2003,"unique","all","unique","1",1076.54667734884
3,2003,"unique","all","unique","1",700.397301208381
4,2003,"unique","all","unique","1",487.54719435084
5,2003,"unique","all","unique","1",313.380347200912
6,2003,"unique","all","unique","1",219.314936996988
7,2003,"unique","all","unique","1",152.663614210437
8,2003,"unique","all","unique","1",65.5041232543562
9,2003,"unique","all","unique","1",37.1933805714867
10,2003,"unique","all","unique","1",21.4463834440478
